tipo_registo,fluxo,ano,periodo,cenario,seccao_sh,continente,pais,latitude,longitude,provincia,indice,cobertura,exportacoes_mil_usd,importacoes_mil_usd,saldo_mil_usd,valor_mil_usd
indice,EXP,2022,,raw,,,,,,,100,,,,,
indice,EXP,2022,,400,,,,,,,100,,,,,
indice,EXP,2022,,300,,,,,,,100,,,,,
indice,EXP,2022,,200,,,,,,,100,,,,,
indice,EXP,2022,,100,,,,,,,100,,,,,
indice,EXP,2022,,raw,1,,,,,,100,,,,,
indice,EXP,2022,,400,1,,,,,,100,,,,,
indice,EXP,2022,,300,1,,,,,,100,,,,,
indice,EXP,2022,,200,1,,,,,,100,,,,,
indice,EXP,2022,,100,1,,,,,,100,,,,,
indice,EXP,2022,,raw,2,,,,,,100,,,,,
indice,EXP,2022,,400,2,,,,,,100,,,,,
indice,EXP,2022,,300,2,,,,,,100,,,,,
indice,EXP,2022,,200,2,,,,,,100,,,,,
indice,EXP,2022,,100,2,,,,,,100,,,,,
indice,EXP,2022,,raw,3,,,,,,100,,,,,
indice,EXP,2022,,400,3,,,,,,100,,,,,
indice,EXP,2022,,300,3,,,,,,100,,,,,
indice,EXP,2022,,200,3,,,,,,100,,,,,
indice,EXP,2022,,100,3,,,,,,100,,,,,
indice,EXP,2022,,raw,4,,,,,,100,,,,,
indice,EXP,2022,,400,4,,,,,,100,,,,,
indice,EXP,2022,,300,4,,,,,,100,,,,,
indice,EXP,2022,,200,4,,,,,,100,,,,,
indice,EXP,2022,,100,4,,,,,,100,,,,,
indice,EXP,2022,,raw,5,,,,,,100,,,,,
indice,EXP,2022,,400,5,,,,,,100,,,,,
indice,EXP,2022,,300,5,,,,,,100,,,,,
indice,EXP,2022,,200,5,,,,,,100,,,,,
indice,EXP,2022,,100,5,,,,,,100,,,,,
indice,EXP,2022,,raw,6,,,,,,100,,,,,
indice,EXP,2022,,400,6,,,,,,100,,,,,
indice,EXP,2022,,300,6,,,,,,100,,,,,
indice,EXP,2022,,200,6,,,,,,100,,,,,
indice,EXP,2022,,100,6,,,,,,100,,,,,
indice,EXP,2022,,raw,7,,,,,,100,,,,,
indice,EXP,2022,,400,7,,,,,,100,,,,,
indice,EXP,2022,,300,7,,,,,,100,,,,,
indice,EXP,2022,,200,7,,,,,,100,,,,,
indice,EXP,2022,,100,7,,,,,,100,,,,,
indice,EXP,2022,,raw,8,,,,,,100,,,,,
indice,EXP,2022,,400,8,,,,,,100,,,,,
indice,EXP,2022,,300,8,,,,,,100,,,,,
indice,EXP,2022,,200,8,,,,,,100,,,,,
indice,EXP,2022,,100,8,,,,,,100,,,,,
